Source,Target,Type,Weight
5419,3082,Undirected,9
5419,4437,Undirected,8
5419,2876,Undirected,8
5419,1141,Undirected,8
5419,1234,Undirected,8
5419,3369,Undirected,8
5419,4129,Undirected,8
5419,984,Undirected,8
5419,250,Undirected,7
5419,661,Undirected,7
5419,5041,Undirected,7
5419,2331,Undirected,6
5419,5638,Undirected,6
5419,184,Undirected,6
3386,2780,Undirected,5
3386,549,Undirected,5
3386,4281,Undirected,5
3386,6288,Undirected,4
3386,5434,Undirected,4
3386,5419,Undirected,4
3386,1141,Undirected,3
3386,3670,Undirected,3
3386,6441,Undirected,3
3386,5488,Undirected,3
3386,5201,Undirected,3
3386,5051,Undirected,3
3386,664,Undirected,3
3386,341,Undirected,3
3386,2338,Undirected,3
3386,487,Undirected,3
3386,5261,Undirected,3
3386,1646,Undirected,3
3386,2239,Undirected,3
3386,446,Undirected,3
177,2357,Undirected,40
177,1574,Undirected,31
177,3913,Undirected,19
177,1828,Undirected,18
177,4572,Undirected,16
177,5142,Undirected,14
177,664,Undirected,9
177,3056,Undirected,9
177,3499,Undirected,8
177,4227,Undirected,8
177,2569,Undirected,8
177,4710,Undirected,7
177,5089,Undirected,7
177,4930,Undirected,6
177,2295,Undirected,6
177,747,Undirected,6
177,5945,Undirected,5
177,184,Undirected,5
177,4519,Undirected,5
177,710,Undirected,5
4099,3909,Undirected,51
4099,710,Undirected,39
4099,689,Undirected,37
4099,5080,Undirected,24
4099,682,Undirected,23
4099,727,Undirected,15
4099,6008,Undirected,12
4099,664,Undirected,10
4099,2554,Undirected,10
4099,186,Undirected,10
4099,1429,Undirected,9
4099,3266,Undirected,9
4099,5599,Undirected,9
4099,912,Undirected,9
4099,4077,Undirected,8
4099,2766,Undirected,8
4099,4919,Undirected,8
4099,2769,Undirected,8
4099,5697,Undirected,8
4099,5747,Undirected,7
5933,2646,Undirected,44
5933,6366,Undirected,35
5933,2264,Undirected,20
5933,5088,Undirected,20
5933,486,Undirected,16
5933,2528,Undirected,12
5933,4958,Undirected,5
5933,1646,Undirected,4
5933,661,Undirected,4
5933,5329,Undirected,4
5933,4077,Undirected,4
5933,2998,Undirected,3
5933,3468,Undirected,3
5933,6441,Undirected,3
5933,848,Undirected,3
5933,2268,Undirected,3
5933,2193,Undirected,3
5933,2522,Undirected,3
5933,5762,Undirected,3
5933,1167,Undirected,3
880,5188,Undirected,40
880,3605,Undirected,21
880,2452,Undirected,16
880,5879,Undirected,12
880,5321,Undirected,8
880,5515,Undirected,6
880,1646,Undirected,4
880,847,Undirected,4
880,3909,Undirected,4
880,3942,Undirected,4
880,1301,Undirected,3
880,3900,Undirected,3
880,1135,Undirected,3
880,2764,Undirected,3
880,5965,Undirected,3
880,6441,Undirected,3
880,516,Undirected,3
880,3147,Undirected,3
880,1528,Undirected,3
880,4902,Undirected,2
3678,3909,Undirected,9
3678,6244,Undirected,8
3678,4716,Undirected,7
3678,2122,Undirected,6
3678,6421,Undirected,6
3678,2569,Undirected,6
3678,2357,Undirected,6
3678,1107,Undirected,5
3678,6239,Undirected,5
3678,1886,Undirected,5
3678,1225,Undirected,5
3678,1646,Undirected,5
3678,2554,Undirected,4
3678,1494,Undirected,4
3678,6409,Undirected,4
3678,1528,Undirected,4
3678,3758,Undirected,4
3678,606,Undirected,4
3678,1195,Undirected,4
3678,2295,Undirected,4
5839,3789,Undirected,62
5839,1888,Undirected,16
5839,1370,Undirected,13
5839,4011,Undirected,8
5839,5283,Undirected,8
5839,1392,Undirected,8
5839,2205,Undirected,7
5839,4753,Undirected,5
5839,3909,Undirected,5
5839,510,Undirected,4
5839,2641,Undirected,4
5839,3376,Undirected,4
5839,5638,Undirected,4
5839,2540,Undirected,4
5839,3424,Undirected,4
5839,5434,Undirected,4
5839,2242,Undirected,4
5839,1894,Undirected,4
5839,3094,Undirected,3
5839,5261,Undirected,3
6090,5770,Undirected,40
6090,277,Undirected,31
6090,4137,Undirected,30
6090,1618,Undirected,24
6090,4710,Undirected,21
6090,5087,Undirected,17
6090,693,Undirected,15
6090,2986,Undirected,14
6090,3085,Undirected,14
6090,839,Undirected,13
6090,2158,Undirected,10
6090,6123,Undirected,9
6090,2429,Undirected,7
6090,3577,Undirected,7
6090,5832,Undirected,6
6090,5176,Undirected,6
6090,5466,Undirected,6
6090,5200,Undirected,5
6090,4005,Undirected,5
6090,2177,Undirected,5
1618,5770,Undirected,61
1618,461,Undirected,35
1618,6090,Undirected,24
1618,186,Undirected,14
1618,5667,Undirected,10
1618,5261,Undirected,8
1618,2806,Undirected,8
1618,3067,Undirected,8
1618,5692,Undirected,7
1618,5599,Undirected,6
1618,2780,Undirected,6
1618,4492,Undirected,6
1618,4099,Undirected,6
1618,1058,Undirected,6
1618,3909,Undirected,6
1618,1528,Undirected,6
1618,2696,Undirected,6
1618,234,Undirected,5
1618,5896,Undirected,5
1618,1674,Undirected,5
4710,3016,Undirected,29
4710,452,Undirected,27
4710,689,Undirected,22
4710,6090,Undirected,21
4710,4240,Undirected,20
4710,6359,Undirected,20
4710,4657,Undirected,16
4710,4756,Undirected,15
4710,2331,Undirected,15
4710,170,Undirected,14
4710,2393,Undirected,13
4710,2825,Undirected,13
4710,5307,Undirected,13
4710,3858,Undirected,13
4710,1124,Undirected,12
4710,4262,Undirected,12
4710,2733,Undirected,10
4710,4806,Undirected,10
4710,5864,Undirected,8
4710,177,Undirected,7
1097,4761,Undirected,29
1097,5324,Undirected,24
1097,689,Undirected,20
1097,4240,Undirected,10
1097,163,Undirected,10
1097,5616,Undirected,8
1097,1633,Undirected,8
1097,2393,Undirected,8
1097,1310,Undirected,7
1097,1613,Undirected,6
1097,4050,Undirected,5
1097,4822,Undirected,5
1097,2554,Undirected,5
1097,5080,Undirected,4
1097,5890,Undirected,4
1097,1555,Undirected,4
1097,1853,Undirected,3
1097,4490,Undirected,3
1097,55,Undirected,3
1097,4349,Undirected,3
1688,4067,Undirected,33
1688,1999,Undirected,32
1688,897,Undirected,19
1688,162,Undirected,19
1688,5017,Undirected,15
1688,2205,Undirected,15
1688,4838,Undirected,12
1688,4828,Undirected,10
1688,5917,Undirected,9
1688,689,Undirected,9
1688,1493,Undirected,8
1688,4017,Undirected,7
1688,3797,Undirected,7
1688,4551,Undirected,7
1688,1138,Undirected,6
1688,211,Undirected,6
1688,2391,Undirected,5
1688,3909,Undirected,5
1688,1687,Undirected,5
1688,661,Undirected,5
912,5115,Undirected,93
912,2003,Undirected,53
912,811,Undirected,48
912,211,Undirected,16
912,1942,Undirected,15
912,4099,Undirected,9
912,5934,Undirected,9
912,689,Undirected,9
912,5692,Undirected,6
912,2331,Undirected,5
912,4077,Undirected,5
912,6473,Undirected,5
912,4271,Undirected,4
912,267,Undirected,4
912,3996,Undirected,4
912,661,Undirected,4
912,1746,Undirected,4
