id,map,result,playtime,roundsPlayed,roundsWon,roundsLost,roundsDisconnected,placement,score,kills,deaths,assists,damage,damageReceived,headshots,grenadeCasts,ability1Casts,ability2Casts,ultimateCasts,dealtHeadshots,dealtBodyshots,dealtLegshots,econRating,suicides,revived,firstBloods,firstDeaths,lastDeaths,survived,traded,kasted,kAST,flawless,thrifty,antiEco,totalThrifty,totalAntiEco,manAdvantage,manDisadvantage,aces,teamAces,clutches,clutchesLost,plants,defuses,kdRatio,scorePerRound,damagePerRound,headshotsPercentage,damageDelta,damageDeltaPerRound,rank,trnPerformanceScore,player
69f2dea9-0cb7-4c67-922d-2300ec0d59a3,/Game/Maps/Infinity/Infinity,defeat,1964,22,9,13,0,6,4142,15,15,3,2852,3205,14,11.0,14.0,23.0,2.0,14,20,2,51,0,0,1,2,1,7,1,,59.0,1,4,,,,,,0,2,1.0,1.0,2,1,1.0,188.27272727272728,129.63636363636363,38.88888888888889,-353,-16.045454545454547,,354,verkozz%23ak74
82aa97bc-665e-4853-b488-405292ae74d8,/Game/Maps/Duality/Duality,victory,1412,17,13,4,0,2,5869,21,10,5,4145,2021,13,6.0,22.0,17.0,2.0,13,54,2,92,0,0,2,1,0,7,5,,88.0,2,3,,,,,,0,0,1.0,,0,0,2.1,345.2352941176471,243.8235294117647,18.84057971014493,2124,124.94117647058823,,987,verkozz%23ak74
d491b8fe-6285-4821-8499-cfdb3573467e,/Game/Maps/Triad/Triad,victory,2131,22,13,9,0,3,6645,23,12,6,5138,2574,21,22.0,4.0,9.0,2.0,24,28,4,96,0,1,1,0,0,10,1,,73.0,1,4,,,,,,0,0,1.0,1.0,0,0,1.9166666666666667,302.04545454545456,233.54545454545453,42.857142857142854,2564,116.54545454545455,,846,verkozz%23ak74
4d787297-1176-4198-9e68-17a408576203,/Game/Maps/Juliett/Juliett,victory,1748,22,13,9,0,6,4321,16,18,3,2851,3330,13,11.0,4.0,4.0,2.0,13,20,1,50,0,0,2,1,1,4,5,,59.0,0,3,,,,,,0,0,,1.0,0,0,0.8888888888888888,196.4090909090909,129.5909090909091,38.23529411764706,-479,-21.772727272727273,,442,verkozz%23ak74
8c83a3cc-c934-4429-8264-69590aeb3a02,/Game/Maps/Duality/Duality,defeat,1443,16,3,13,0,10,1665,4,15,2,1178,2431,3,6.0,3.0,17.0,1.0,3,16,3,30,0,0,0,4,1,1,2,,38.0,0,3,,,,,,0,0,,1.0,1,0,0.26666666666666666,104.0625,73.625,13.636363636363635,-1253,-78.3125,,100,verkozz%23ak74
c8d477a5-c048-45b2-86e9-d0d7c8bf3799,/Game/Maps/Infinity/Infinity,defeat,1717,20,7,13,0,2,7634,26,15,2,5106,2739,22,1.0,3.0,18.0,3.0,22,28,0,102,0,1,4,1,3,5,1,,75.0,0,1,,,,,,0,0,,3.0,0,0,1.7333333333333334,381.7,255.3,44.0,2367,118.35,,777,verkozz%23ak74
652d0abd-fa8f-443e-8016-d88300497ac4,/Game/Maps/Bonsai/Bonsai,defeat,2265,24,11,13,0,6,4663,15,17,7,3305,3140,13,15.0,24.0,30.0,3.0,16,39,4,54,0,0,1,1,0,7,2,,67.0,1,4,,,,,,0,0,1.0,,0,1,0.8823529411764706,194.29166666666666,137.70833333333334,27.11864406779661,165,6.875,,482,verkozz%23ak74
fa8cd910-e7af-4778-b06f-e80d0d1556c0,/Game/Maps/Juliett/Juliett,victory,1155,16,13,3,0,1,6093,20,8,5,4043,1647,8,13.0,4.0,7.0,2.0,10,37,4,126,0,0,5,1,0,8,4,,100.0,1,4,,,,,,0,0,,,0,0,2.5,380.8125,252.6875,19.607843137254903,2396,149.75,,1000,verkozz%23ak74
166cfabf-72a3-4fa5-bab1-2c4f327b0af0,/Game/Maps/Pitt/Pitt,victory,1509,15,13,2,0,1,4616,18,9,1,3157,1705,9,10.0,12.0,22.0,1.0,9,27,1,73,0,0,2,1,0,6,4,,87.0,1,1,,,,,,0,0,,,0,0,2.0,307.73333333333335,210.46666666666667,24.324324324324326,1452,96.8,,965,verkozz%23ak74
bd1d9f8e-508b-42fb-b8da-6b22bd594a37,/Game/Maps/Ascent/Ascent,victory,1974,23,13,10,0,1,8725,31,15,5,5794,3541,19,16.0,5.0,10.0,5.0,23,53,6,101,0,1,3,3,2,8,3,,78.0,0,5,,,,,,0,0,1.0,2.0,1,1,2.066666666666667,379.3478260869565,251.91304347826087,28.04878048780488,2253,97.95652173913044,,907,verkozz%23ak74
